brand,screen_size,cpu,ram,OS,graphics,price
Dell,15.6,Intel,16,Windows,Dedicated,1169.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Other,12.0,Intel,8,Windows,Integrated,993.99
Other,15.0,AMD,8,Windows,Integrated,858.98
Asus,13.9,Intel,1,Windows,Dedicated,1399.9
Lenovo,14.0,Intel,16,Windows,Dedicated,2079.99
MSI,13.3,Intel,32,Windows,Integrated,1299.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Lenovo,16.0,Intel,32,Windows,Dedicated,2349.99
Dell,18.0,Intel,32,Windows,Integrated,2929.99
Dell,15.6,Intel,32,Windows,Integrated,930.17
Asus,17.3,Other,4,Chrome OS,Integrated,259.99
Dell,14.0,Intel,8,Windows,Dedicated,899.0
Acer,17.3,Intel,8,Windows,Integrated,493.49
MSI,16.0,Intel,32,Windows,Dedicated,1900.58
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,16.0,Intel,32,Windows,Dedicated,3499.0
Dell,16.0,Intel,40,Windows,Integrated,1096.99
Other,15.6,Intel,8,Windows,Integrated,159.0
Lenovo,16.0,Intel,32,Windows,Dedicated,1799.0
Lenovo,15.6,AMD,4,Windows,Integrated,395.0
Other,14.0,Intel,16,Windows,Integrated,799.99
Dell,15.6,Intel,16,Windows,Dedicated,2022.0
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Dell,15.6,AMD,32,Windows,Integrated,548.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
HP,11.6,Intel,4,Windows,Integrated,369.0
HP,17.3,Intel,8,Windows,Integrated,639.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Dell,15.6,Intel,16,Windows,Integrated,1552.3
Dell,14.0,Intel,8,Windows,Integrated,350.0
HP,15.6,AMD,16,Windows,Integrated,675.0
Dell,14.0,AMD,16,Windows,Integrated,595.97
Dell,16.0,Intel,16,Windows,Integrated,849.99
Dell,14.1,Intel,8,Windows,Integrated,415.0
Lenovo,15.6,Intel,4,Windows,Integrated,299.99
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Lenovo,15.6,Intel,16,Windows,Dedicated,816.33
Acer,15.6,Intel,8,Chrome OS,Integrated,399.99
Dell,17.3,Intel,16,Windows,Dedicated,2199.0
HP,15.6,Intel,8,Windows,Integrated,719.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Asus,14.0,Intel,16,Windows,Dedicated,1299.99
HP,15.6,AMD,8,Windows,Integrated,457.64
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Dell,11.0,Other,4,Chrome OS,Integrated,57.99
HP,15.6,Intel,16,Windows,Dedicated,1169.99
Asus,13.3,Intel,16,Windows,Integrated,799.99
Lenovo,15.6,Intel,8,Windows,Dedicated,799.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
HP,15.6,Intel,16,Windows,Integrated,949.31
Lenovo,14.0,Intel,16,Windows,Integrated,1270.77
Acer,15.6,Other,8,Chrome OS,Integrated,345.44
HP,16.0,AMD,16,Windows,Dedicated,1427.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Acer,14.0,Intel,8,Windows,Integrated,668.55
Lenovo,14.0,Intel,8,Windows,Integrated,883.58
HP,13.5,Intel,16,Windows,Dedicated,2039.0
MSI,17.3,AMD,32,Windows,Dedicated,1499.0
